State,College_Attendance_in_%,GDP,US_Region
Alabama,40,247.09,SOUTH
Alaska,30.9,54.97,WEST
Arizona,35.8,411.19,WEST
Arkansas,37.8,144.55,SOUTH
California,44.5,3356.63,WEST
Colorado,42.5,421.94,WEST
Connecticut,46.5,296.5,NORTHEAST
Delaware,44.1,80.72,SOUTH
District of Columbia,43.1,152.01,SOUTH
Florida,43.6,1226.3,SOUTH
Georgia,38.9,683.3,SOUTH
Hawaii,36.7,90.06,WEST
Idaho,37.2,94.32,WEST
Illinois,44.7,938.35,MIDWEST
Indiana,42.8,420.34,MIDWEST
Iowa,46,219.84,MIDWEST
Kansas,42.8,192.3,MIDWEST
Kentucky,35.4,234.5,SOUTH
Louisiana,36.5,255.31,SOUTH
Maine,42,76.06,NORTHEAST
Maryland,43,438.23,SOUTH
Massachusetts,51.2,636.51,NORTHEAST
Michigan,47.7,568.41,MIDWEST
Minnesota,46.4,412,MIDWEST
Mississippi,39.9,125.11,SOUTH
Missouri,41.3,359.95,MIDWEST
Montana,38.8,59.3,WEST
Nebraska,47.3,150.39,MIDWEST
Nevada,29.9,192.96,WEST
New Hampshire,43.9,98.24,NORTHEAST
New Jersey,45.7,672.09,NORTHEAST
New Mexico,39.3,108.93,SOUTH
New York,46.1,1853.93,NORTHEAST
North Carolina,40.2,654.99,SOUTH
North Dakota,46.8,63.39,MIDWEST
Ohio,44.3,736.45,MIDWEST
Oklahoma,37.7,206.75,SOUTH
Oregon,41.2,266.94,WEST
Pennsylvania,46.4,839.44,NORTHEAST
Rhode Island,50.2,65.94,NORTHEAST
South Carolina,39.9,270.08,SOUTH
South Dakota,43.2,61.21,MIDWEST
Tennessee,37.5,418.29,SOUTH
Texas,37.6,1985.32,SOUTH
Utah,42.4,220.34,WEST
Vermont,44.9,36.17,NORTHEAST
Virginia,48.3,591.85,SOUTH
Washington,40.6,667.58,WEST
West Virginia,37.2,87.39,SOUTH
Wisconsin,41.1,365.93,MIDWEST
Wyoming,44.2,41.62,WEST
